reg;semaine_glissante;pop;P;T;nom_region
01;2020-09-19-2020-09-25;376879;1088;5481;Guadeloupe
01;2020-09-20-2020-09-26;376879;1091;5497;Guadeloupe
01;2020-09-21-2020-09-27;376879;1071;5462;Guadeloupe
01;2020-09-22-2020-09-28;376879;991;5304;Guadeloupe
01;2020-09-23-2020-09-29;376879;904;5120;Guadeloupe
01;2020-09-24-2020-09-30;376879;891;5117;Guadeloupe
01;2020-09-25-2020-10-01;376879;849;4819;Guadeloupe
01;2020-09-26-2020-10-02;376879;807;4716;Guadeloupe
01;2020-09-27-2020-10-03;376879;803;4695;Guadeloupe
01;2020-09-28-2020-10-04;376879;808;4694;Guadeloupe
01;2020-09-29-2020-10-05;376879;722;4441;Guadeloupe
01;2020-09-30-2020-10-06;376879;687;4167;Guadeloupe
01;2020-10-01-2020-10-07;376879;611;3903;Guadeloupe
01;2020-10-02-2020-10-08;376879;595;3795;Guadeloupe
01;2020-10-03-2020-10-09;376879;599;3825;Guadeloupe
01;2020-10-04-2020-10-10;376879;605;3842;Guadeloupe
01;2020-10-05-2020-10-11;376879;593;3819;Guadeloupe
01;2020-10-06-2020-10-12;376879;556;3696;Guadeloupe
01;2020-10-07-2020-10-13;376879;525;3676;Guadeloupe
01;2020-10-08-2020-10-14;376879;505;3613;Guadeloupe
01;2020-10-09-2020-10-15;376879;452;3548;Guadeloupe
01;2020-10-10-2020-10-16;376879;419;3441;Guadeloupe
01;2020-10-11-2020-10-17;376879;401;3413;Guadeloupe
01;2020-10-12-2020-10-18;376879;396;3432;Guadeloupe
01;2020-10-13-2020-10-19;376879;372;3390;Guadeloupe
01;2020-10-14-2020-10-20;376879;332;3206;Guadeloupe
01;2020-10-15-2020-10-21;376879;313;3136;Guadeloupe
01;2020-10-16-2020-10-22;376879;281;3018;Guadeloupe
01;2020-10-17-2020-10-23;376879;274;3110;Guadeloupe
01;2020-10-18-2020-10-24;376879;271;3090;Guadeloupe
01;2020-10-19-2020-10-25;376879;273;3109;Guadeloupe
01;2020-10-20-2020-10-26;376879;265;3072;Guadeloupe
01;2020-10-21-2020-10-27;376879;266;3170;Guadeloupe
01;2020-10-22-2020-10-28;376879;269;3234;Guadeloupe
01;2020-10-23-2020-10-29;376879;275;3537;Guadeloupe
01;2020-10-24-2020-10-30;376879;301;3737;Guadeloupe
01;2020-10-25-2020-10-31;376879;300;3790;Guadeloupe
01;2020-10-26-2020-11-01;376879;293;3721;Guadeloupe
